,Rk,PLAYER,POSITION,AGE,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,POINTS,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS_RPM,PIE,PACE,W
178,186,Rondae Hollis-Jefferson,SF,22,22.6,3.0,6.9,0.434,0.2,0.9,0.22399999999999998,2.8,6.1,0.46299999999999997,0.447,2.4,3.2,0.7509999999999999,1.2,4.6,5.8,2.0,1.1,0.6,1.5,2.3,8.7,BKN,78,22.6,-2.16,1.78,-0.38,3.29,9.8,104.94,19
179,187,Nerlens Noel,C,22,20.5,3.6,6.1,0.595,0.0,0.0,0.0,3.6,6.0,0.597,0.595,1.5,2.2,0.6940000000000001,1.8,3.9,5.8,1.0,1.3,1.0,1.0,2.5,8.7,DAL/PHI,51,20.5,-1.33,2.58,1.25,2.95,12.7,98.69,24
180,188,Marreese Speights,C,29,15.7,3.0,6.7,0.445,1.3,3.4,0.37200000000000005,1.7,3.3,0.52,0.539,1.5,1.7,0.8759999999999999,1.1,3.5,4.5,0.8,0.3,0.5,0.8,2.8,8.7,LAC,82,15.7,0.67,0.69,1.36,3.66,11.4,97.43,51
181,190,Monta Ellis,SG,31,27.0,3.3,7.5,0.44299999999999995,0.6,1.8,0.319,2.8,5.7,0.483,0.48200000000000004,1.3,1.7,0.727,0.3,2.5,2.8,3.2,1.1,0.4,1.8,2.0,8.5,IND,74,27.0,-1.32,-1.64,-2.96,0.21,6.9,98.1,39
182,191,Tony Snell,SG,25,29.2,3.1,6.8,0.455,1.8,4.4,0.406,1.3,2.3,0.5479999999999999,0.588,0.6,0.7,0.81,0.3,2.8,3.1,1.2,0.7,0.2,0.7,1.6,8.5,MIL,80,29.2,-0.02,-0.85,-0.87,3.29,6.5,96.85,42
183,192,Arron Afflalo,SG,31,25.9,3.0,6.9,0.44,1.0,2.5,0.41100000000000003,2.0,4.4,0.457,0.514,1.4,1.5,0.892,0.1,1.9,2.0,1.3,0.3,0.1,0.7,1.7,8.4,SAC,61,25.9,-1.43,-2.85,-4.28,-1.12,5.8,96.17,23
184,193,Tyson Chandler,C,34,27.6,3.3,4.9,0.6709999999999999,0.0,0.0,,3.3,4.9,0.6709999999999999,0.6709999999999999,1.9,2.6,0.7340000000000001,3.3,8.2,11.5,0.6,0.7,0.5,1.4,2.7,8.4,PHX,47,27.6,-1.06,2.2,1.14,3.55,13.1,101.88,15
185,194,Norman Powell,SG,23,18.0,3.0,6.7,0.449,0.7,2.3,0.324,2.3,4.4,0.514,0.504,1.7,2.1,0.792,0.3,1.9,2.2,1.1,0.7,0.2,0.9,1.7,8.4,TOR,76,18.0,-0.24,-1.01,-1.25,1.63,8.7,97.93,47
186,195,Troy Daniels,SG,25,17.7,2.8,7.4,0.374,2.1,5.3,0.389,0.7,2.1,0.336,0.513,0.6,0.8,0.7959999999999999,0.3,1.2,1.5,0.7,0.3,0.1,0.7,1.3,8.2,MEM,67,17.7,-0.02,-2.1,-2.12,0.72,6.5,95.85,33
187,196,Joe Harris,SG,25,21.9,3.0,7.0,0.425,1.6,4.3,0.385,1.3,2.7,0.489,0.5429999999999999,0.7,0.9,0.7140000000000001,0.3,2.5,2.8,1.0,0.6,0.2,1.1,2.3,8.2,BKN,52,21.9,-2.46,-1.73,-4.19,-0.82,6.1,105.53,10
188,197,Willy Hernangomez,C,22,18.4,3.4,6.5,0.529,0.1,0.2,0.267,3.4,6.3,0.5379999999999999,0.5329999999999999,1.3,1.7,0.728,2.4,4.6,7.0,1.3,0.6,0.5,1.4,2.1,8.2,NY,72,18.4,-0.75,0.4,-0.35,2.37,13.3,99.12,27
189,198,Caris LeVert,SF,22,21.7,3.0,6.7,0.45,1.0,3.2,0.321,2.0,3.4,0.5710000000000001,0.528,1.2,1.6,0.72,0.4,2.9,3.3,1.9,0.9,0.1,1.0,1.6,8.2,BKN,57,21.7,-0.46,-0.84,-1.3,1.53,8.6,104.52,15
190,199,Shawn Long,C,24,13.0,3.4,6.1,0.56,0.4,1.1,0.368,3.0,5.0,0.6,0.5920000000000001,1.1,1.9,0.5429999999999999,2.3,2.4,4.7,0.7,0.5,0.5,0.7,2.7,8.2,PHI,18,13.0,-0.31,0.3,-0.01,0.47,12.8,101.37,5
191,200,Willie Cauley-Stein,C,23,18.9,3.4,6.4,0.53,0.0,0.0,0.0,3.4,6.4,0.532,0.53,1.3,2.0,0.669,1.1,3.4,4.5,1.1,0.7,0.6,0.9,2.0,8.1,SAC,75,18.9,-2.07,0.9,-1.17,1.72,10.6,96.91,29
192,201,Al Jefferson,C,32,14.1,3.6,7.1,0.499,0.0,0.0,0.0,3.6,7.1,0.5,0.499,1.0,1.3,0.765,1.1,3.1,4.2,0.9,0.3,0.2,0.5,1.9,8.1,IND,66,14.1,-1.0,-0.45,-1.45,0.98,13.3,96.89,33
193,202,Ben McLemore,SG,23,19.3,3.0,6.9,0.43,1.1,2.8,0.382,1.9,4.1,0.462,0.507,1.1,1.5,0.753,0.3,1.8,2.1,0.8,0.5,0.1,1.0,1.8,8.1,SAC,61,19.3,-2.88,-1.58,-4.46,-0.99,6.0,97.04,27
194,203,Tristan Thompson,C,25,29.9,3.4,5.6,0.6,0.0,0.0,0.0,3.4,5.6,0.604,0.6,1.4,2.7,0.498,3.7,5.5,9.2,1.0,0.5,1.1,0.8,2.3,8.1,CLE,78,29.9,-1.31,1.31,0.0,4.62,8.9,98.28,50
195,204,Vince Carter,SF,40,24.6,2.6,6.7,0.39399999999999996,1.5,4.1,0.37799999999999995,1.1,2.7,0.418,0.508,1.2,1.6,0.765,0.5,2.6,3.1,1.8,0.8,0.5,0.7,2.2,8.0,MEM,73,24.7,1.36,-0.06,1.3,4.81,7.8,95.02,36
196,205,Alex Len,C,23,20.3,3.0,6.0,0.49700000000000005,0.0,0.2,0.25,2.9,5.9,0.503,0.5,1.9,2.7,0.721,2.0,4.6,6.6,0.6,0.5,1.3,1.3,3.1,8.0,PHX,77,20.3,-3.62,1.28,-2.34,0.81,9.5,103.52,21
197,206,D.J. Augustin,PG,29,19.7,2.5,6.6,0.377,1.2,3.5,0.34700000000000003,1.3,3.1,0.41200000000000003,0.469,1.7,2.1,0.8140000000000001,0.2,1.3,1.5,2.7,0.4,0.0,1.2,1.3,7.9,ORL,78,19.7,-1.53,-3.4,-4.93,-1.74,8.0,97.4,29
198,207,Langston Galloway,PG,25,20.2,2.8,7.4,0.38,1.6,4.2,0.39,1.2,3.2,0.36700000000000005,0.49,0.7,0.9,0.797,0.4,1.7,2.1,1.3,0.6,0.1,0.6,1.3,7.9,NO/SAC,74,20.2,0.1,-1.65,-1.55,1.46,6.7,99.48,29
199,208,Shelvin Mack,PG,26,21.9,3.1,6.9,0.446,0.7,2.2,0.308,2.4,4.7,0.51,0.495,1.0,1.4,0.688,0.4,1.9,2.3,2.8,0.8,0.1,1.6,1.8,7.8,UTAH,55,21.9,-1.51,-1.28,-2.79,0.25,7.9,93.44,34
200,209,Sergio Rodriguez,PG,30,22.3,3.1,7.9,0.392,1.4,3.7,0.365,1.7,4.2,0.415,0.478,0.3,0.4,0.667,0.3,2.0,2.3,5.1,0.7,0.1,1.9,1.4,7.8,PHI,68,22.3,-0.66,-2.11,-2.77,0.35,9.4,99.81,24
201,210,Rajon Rondo,PG,30,26.7,3.3,8.1,0.408,0.7,1.9,0.376,2.6,6.2,0.418,0.45299999999999996,0.4,0.7,0.6,1.1,4.1,5.1,6.7,1.4,0.2,2.4,2.1,7.8,CHI,69,26.7,-1.35,-0.49,-1.84,1.51,10.6,97.96,34
202,211,Garrett Temple,SG,30,26.6,2.8,6.6,0.424,1.3,3.4,0.373,1.6,3.3,0.47600000000000003,0.519,0.9,1.1,0.784,0.5,2.3,2.8,2.6,1.3,0.4,1.2,2.2,7.8,SAC,65,26.6,-0.14,-0.46,-0.6,2.67,7.1,97.51,25
203,212,Justin Holiday,SG,27,20.0,2.8,6.6,0.433,1.2,3.3,0.355,1.7,3.2,0.513,0.523,0.8,1.0,0.825,0.3,2.4,2.7,1.2,0.8,0.4,0.8,1.3,7.7,NY,82,20.0,-0.58,0.25,-0.33,2.87,9.2,98.65,31
204,213,Matthew Dellavedova,PG,26,26.1,2.7,7.0,0.39,1.0,2.8,0.36700000000000005,1.7,4.2,0.40399999999999997,0.46299999999999997,1.1,1.3,0.8540000000000001,0.3,1.6,1.9,4.7,0.7,0.0,1.8,2.0,7.6,MIL,76,26.1,-0.88,-1.01,-1.89,1.54,6.6,97.5,39
205,214,Luol Deng,SF,31,26.5,2.9,7.6,0.387,0.9,2.9,0.309,2.0,4.6,0.436,0.447,0.8,1.1,0.73,1.1,4.1,5.3,1.3,0.9,0.4,0.8,1.1,7.6,LAL,56,26.5,-1.87,1.54,-0.33,2.69,7.7,100.3,18
206,215,Andre Iguodala,SF,33,26.3,2.9,5.5,0.528,0.8,2.3,0.36200000000000004,2.0,3.1,0.6509999999999999,0.605,0.9,1.3,0.706,0.7,3.3,4.0,3.4,1.0,0.5,0.8,1.3,7.6,GS,76,26.3,2.01,1.52,3.53,8.72,10.2,101.92,64
207,216,Manu Ginobili,SG,39,18.7,2.5,6.4,0.39,1.3,3.3,0.392,1.2,3.1,0.387,0.491,1.2,1.6,0.804,0.4,1.9,2.3,2.7,1.2,0.2,1.4,1.7,7.5,SA,69,18.7,1.43,1.0,2.43,4.64,8.7,100.94,51
208,217,Iman Shumpert,SG,26,25.5,2.6,6.4,0.41100000000000003,1.2,3.4,0.36,1.4,3.0,0.469,0.507,0.9,1.2,0.789,0.5,2.4,2.9,1.4,0.8,0.4,1.0,2.0,7.5,CLE,76,25.5,-0.98,-0.16,-1.14,2.43,5.5,97.99,48
209,218,Ivica Zubac,C,19,16.0,3.3,6.3,0.529,0.0,0.1,0.0,3.3,6.2,0.536,0.529,0.8,1.3,0.653,1.1,3.1,4.2,0.8,0.4,0.9,0.8,1.7,7.5,LAL,38,16.0,-3.04,-0.26,-3.3,-0.07,10.0,102.85,8
210,219,Timofey Mozgov,C,30,20.4,3.1,6.1,0.515,0.0,0.0,0.0,3.1,6.1,0.517,0.515,1.2,1.4,0.8079999999999999,1.9,3.0,4.9,0.8,0.3,0.6,1.3,2.5,7.4,LAL,54,20.4,-4.02,0.93,-3.09,0.03,7.2,99.38,16
211,220,Isaiah Whitehead,PG,21,22.5,2.8,7.0,0.402,0.6,2.0,0.295,2.2,4.9,0.446,0.445,1.2,1.5,0.805,0.4,2.1,2.5,2.6,0.6,0.5,1.9,2.4,7.4,BKN,73,22.5,-1.95,-1.16,-3.11,0.02,5.2,102.31,17
212,221,Alan Williams,C,24,15.1,2.9,5.7,0.517,0.0,0.0,0.0,2.9,5.7,0.519,0.517,1.5,2.4,0.625,2.0,4.2,6.2,0.5,0.6,0.7,0.8,2.7,7.4,PHX,47,15.1,-0.94,1.49,0.55,1.75,12.7,102.8,11
213,222,Spencer Dinwiddie,PG,23,22.6,2.3,5.1,0.444,0.6,1.7,0.376,1.6,3.4,0.478,0.507,2.1,2.7,0.792,0.5,2.3,2.8,3.1,0.7,0.4,1.1,2.0,7.3,BKN,59,22.6,-0.8,0.31,-0.49,2.29,8.7,101.2,13
214,224,Danny Green,SG,29,26.6,2.6,6.6,0.392,1.7,4.6,0.379,0.9,2.0,0.42,0.523,0.4,0.5,0.8440000000000001,0.5,2.8,3.3,1.8,1.0,0.8,1.1,1.8,7.3,SA,68,26.6,-0.45,1.71,1.26,4.83,6.9,94.47,51
215,225,David Lee,PF,33,18.7,3.1,5.3,0.59,0.0,0.0,,3.1,5.3,0.59,0.59,1.0,1.4,0.708,1.9,3.7,5.6,1.6,0.4,0.5,1.0,1.6,7.3,SA,79,18.7,-0.38,1.5,1.12,3.98,12.6,98.36,58
216,226,Tyler Ulis,PG,21,18.4,3.0,7.2,0.42100000000000004,0.3,1.3,0.266,2.7,5.9,0.455,0.445,0.9,1.2,0.775,0.3,1.2,1.6,3.7,0.8,0.1,1.3,1.2,7.3,PHX,61,18.4,-2.03,-2.23,-4.26,-0.86,9.5,103.45,15
217,227,Thabo Sefolosha,SF,32,25.7,2.8,6.4,0.441,0.7,1.9,0.342,2.1,4.4,0.484,0.49200000000000005,0.9,1.2,0.733,0.9,3.5,4.4,1.7,1.5,0.5,0.9,1.6,7.2,ATL,62,25.7,-1.93,2.27,0.34,3.55,8.6,99.53,32
218,228,Rodney Stuckey,PG,30,17.8,2.3,6.3,0.373,0.5,1.5,0.317,1.8,4.7,0.391,0.41200000000000003,2.1,2.7,0.748,0.2,2.0,2.2,2.2,0.4,0.0,1.4,1.1,7.2,IND,39,17.8,-1.66,-0.91,-2.57,0.23,7.5,96.83,17
219,229,Justin Anderson,SF,23,16.4,2.5,5.9,0.424,0.8,2.6,0.299,1.7,3.3,0.522,0.49,1.4,1.7,0.7909999999999999,0.9,2.3,3.3,0.9,0.5,0.3,0.9,1.5,7.1,DAL/PHI,75,16.4,-1.36,-2.54,-3.9,-0.59,9.1,97.35,24
220,230,Matt Barnes,SF,36,24.0,2.5,6.4,0.391,1.2,3.6,0.331,1.3,2.8,0.467,0.483,0.9,1.2,0.787,0.9,4.2,5.2,2.6,0.6,0.4,1.4,2.5,7.1,GS/SAC,74,24.0,-1.18,-0.09,-1.27,2.07,8.1,97.99,38
221,231,Tim Frazier,PG,26,23.5,2.5,6.2,0.40299999999999997,0.6,2.0,0.313,1.9,4.2,0.446,0.45299999999999996,1.5,2.0,0.76,0.5,2.1,2.7,5.2,0.9,0.1,1.6,2.0,7.1,NO,65,23.5,-0.73,-1.67,-2.4,0.7,8.4,99.84,26
222,232,Joe Ingles,SF,29,24.0,2.5,5.5,0.452,1.5,3.4,0.441,1.0,2.1,0.47100000000000003,0.589,0.6,0.8,0.735,0.3,2.9,3.2,2.7,1.2,0.1,1.3,2.0,7.1,UTAH,82,24.0,2.29,0.26,2.55,6.68,8.9,94.04,51
223,233,Brandon Jennings,PG,27,22.2,2.4,6.6,0.359,1.0,3.1,0.313,1.4,3.5,0.39899999999999997,0.433,1.4,1.9,0.75,0.4,2.1,2.4,4.9,0.9,0.0,1.6,1.4,7.1,NY/WSH,81,22.2,0.25,-1.5,-1.25,2.15,8.9,99.85,37
224,234,Larry Nance Jr.,PF,24,22.9,3.0,5.7,0.526,0.2,0.6,0.278,2.9,5.2,0.5539999999999999,0.54,0.9,1.3,0.738,1.9,4.0,5.9,1.5,1.3,0.6,0.9,2.4,7.1,LAL,63,22.9,-1.26,2.16,0.9,3.79,10.1,101.0,21
225,235,Anthony Tolliver,PF,31,22.7,2.4,5.4,0.442,1.4,3.5,0.391,1.0,1.9,0.537,0.57,0.9,1.3,0.7440000000000001,0.8,2.9,3.6,1.2,0.5,0.3,0.9,1.7,7.1,SAC,65,22.7,-0.07,-0.97,-1.04,1.93,7.3,97.77,26
226,236,Solomon Hill,SF,25,29.7,2.3,6.0,0.38299999999999995,1.2,3.4,0.348,1.1,2.6,0.428,0.48100000000000004,1.3,1.6,0.805,0.6,3.2,3.8,1.8,0.9,0.4,1.0,2.3,7.0,NO,80,29.7,-1.06,1.49,0.43,5.4,5.3,100.61,34
227,237,Josh Huestis,PF,25,15.5,3.0,5.5,0.545,1.0,2.0,0.5,2.0,3.5,0.5710000000000001,0.636,0.0,0.5,0.0,2.0,2.5,4.5,1.5,0.0,1.5,0.0,0.0,7.0,OKC,2,15.5,-1.97,0.83,-1.14,0.04,13.7,108.61,0
228,238,Justin Hamilton,C,26,18.4,2.7,5.9,0.45899999999999996,0.9,2.8,0.306,1.9,3.1,0.598,0.532,0.6,0.8,0.75,1.1,3.0,4.1,0.9,0.5,0.7,0.7,1.4,6.9,BKN,64,18.4,-1.64,-0.42,-2.06,0.84,9.2,103.44,14
229,239,T.J. McConnell,PG,24,26.3,2.9,6.3,0.461,0.1,0.7,0.2,2.8,5.6,0.49200000000000005,0.47200000000000003,0.9,1.1,0.8109999999999999,0.5,2.6,3.1,6.6,1.7,0.1,2.0,1.7,6.9,PHI,81,26.3,-1.32,0.23,-1.09,2.86,10.7,102.22,27
230,240,Ian Clark,SG,25,14.8,2.7,5.6,0.48700000000000004,0.8,2.1,0.374,1.9,3.5,0.556,0.5579999999999999,0.6,0.8,0.759,0.3,1.3,1.6,1.2,0.5,0.1,0.7,1.0,6.8,GS,77,14.8,-1.08,-1.82,-2.9,0.17,9.2,100.62,63
231,241,Jared Dudley,PF,31,21.3,2.5,5.4,0.45399999999999996,1.2,3.2,0.379,1.3,2.2,0.5589999999999999,0.565,0.7,1.0,0.662,0.5,3.0,3.5,1.9,0.7,0.3,1.1,2.4,6.8,PHX,64,21.3,-0.67,1.89,1.22,3.94,7.9,103.23,17
232,242,John Henson,C,26,19.4,2.7,5.3,0.515,0.0,0.0,0.0,2.7,5.3,0.516,0.515,1.3,1.8,0.6920000000000001,1.6,3.5,5.1,1.0,0.5,1.3,0.9,2.6,6.8,MIL,58,19.4,-3.42,1.79,-1.63,1.05,9.2,96.69,26
233,243,Patrick Patterson,PF,27,24.6,2.4,5.9,0.401,1.4,3.9,0.37200000000000005,0.9,2.0,0.45799999999999996,0.523,0.7,0.9,0.7170000000000001,1.0,3.6,4.5,1.2,0.6,0.4,0.6,1.8,6.8,TOR,65,24.6,1.05,1.26,2.31,5.4,7.5,97.3,42
234,244,Bobby Portis,PF,21,15.6,2.9,5.9,0.488,0.5,1.5,0.33299999999999996,2.4,4.4,0.541,0.531,0.6,0.9,0.6609999999999999,1.2,3.5,4.6,0.5,0.3,0.2,0.6,1.5,6.8,CHI,64,15.6,-1.94,-0.5,-2.44,0.43,11.0,97.38,30
235,246,Brandan Wright,PF,29,16.0,3.0,4.8,0.615,0.0,0.0,0.0,3.0,4.8,0.619,0.615,0.8,1.3,0.657,1.1,1.7,2.8,0.5,0.4,0.7,0.4,1.5,6.8,MEM,28,16.0,-0.86,0.4,-0.46,0.71,11.6,93.54,14
236,247,Alec Burks,SG,25,15.5,2.4,5.9,0.39899999999999997,0.6,1.8,0.32899999999999996,1.8,4.1,0.43,0.45,1.4,1.9,0.769,0.4,2.5,2.9,0.7,0.4,0.1,0.8,1.2,6.7,UTAH,42,15.5,-2.47,-0.94,-3.41,-0.12,8.7,95.94,26
237,249,Raymond Felton,PG,32,21.3,2.8,6.4,0.43,0.6,1.8,0.319,2.2,4.6,0.473,0.475,0.6,0.8,0.7809999999999999,0.4,2.3,2.7,2.4,0.8,0.3,1.0,1.6,6.7,LAC,80,21.3,-1.4,-0.88,-2.28,0.92,7.8,97.95,50
238,250,Devin Harris,PG,33,16.7,2.1,5.2,0.39899999999999997,0.9,2.7,0.32799999999999996,1.2,2.5,0.47600000000000003,0.484,1.6,2.0,0.8290000000000001,0.2,1.8,2.0,2.1,0.7,0.1,0.9,1.6,6.7,DAL,65,16.7,0.38,0.32,0.7,2.58,9.5,95.46,29
239,251,Dwight Powell,C,25,17.3,2.5,4.9,0.515,0.3,1.0,0.284,2.2,3.9,0.5710000000000001,0.542,1.4,1.8,0.759,1.2,2.8,4.0,0.6,0.8,0.5,0.4,1.8,6.7,DAL,77,17.3,-0.66,-0.51,-1.17,1.58,10.7,93.78,30
240,253,Jaylen Brown,SF,20,17.2,2.5,5.4,0.45399999999999996,0.6,1.7,0.341,1.9,3.7,0.507,0.508,1.1,1.6,0.685,0.6,2.2,2.8,0.8,0.4,0.2,0.9,1.8,6.6,BOS,78,17.2,-2.95,-0.42,-3.37,-0.21,7.1,99.02,50
241,254,Michael Carter-Williams,PG,25,18.8,2.5,6.8,0.366,0.3,1.4,0.23399999999999999,2.2,5.4,0.401,0.391,1.3,1.7,0.753,0.5,2.9,3.4,2.5,0.8,0.5,1.5,2.3,6.6,CHI,45,18.8,-2.82,1.12,-1.7,0.77,7.0,98.47,25
242,255,Dante Cunningham,SF,29,25.0,2.6,5.4,0.485,1.1,2.7,0.392,1.6,2.7,0.579,0.584,0.2,0.4,0.593,0.8,3.3,4.2,0.6,0.6,0.4,0.4,1.5,6.6,NO,66,25.0,-0.37,-0.56,-0.93,2.29,6.8,99.77,28
243,256,Kosta Koufos,C,27,20.0,3.0,5.5,0.551,0.0,0.0,0.0,3.0,5.5,0.552,0.551,0.5,0.9,0.613,1.7,4.0,5.7,0.7,0.5,0.7,0.9,2.4,6.6,SAC,71,20.0,-2.78,2.83,0.05,2.79,9.3,96.17,27
244,257,Andre Roberson,SF,25,30.1,2.7,5.9,0.46399999999999997,0.6,2.3,0.245,2.2,3.5,0.609,0.513,0.6,1.4,0.423,1.2,3.9,5.1,1.0,1.2,1.0,0.6,2.6,6.6,OKC,79,30.1,-1.4,2.64,1.24,6.73,5.9,101.08,46
245,258,Marcus Thornton,SG,29,17.4,2.5,6.4,0.4,0.8,2.4,0.35,1.7,3.9,0.431,0.467,0.7,0.8,0.852,0.7,1.6,2.3,1.2,0.6,0.1,0.8,1.5,6.6,WSH,33,17.4,-1.64,-3.31,-4.95,-0.66,6.9,98.29,15
246,259,Sam Dekker,SF,22,18.4,2.6,5.6,0.473,0.8,2.4,0.321,1.9,3.1,0.591,0.5429999999999999,0.5,0.9,0.5589999999999999,1.2,2.5,3.7,1.0,0.5,0.3,0.5,1.1,6.5,HOU,77,18.4,0.05,-1.42,-1.37,1.64,8.7,102.25,52
247,260,Amir Johnson,PF,29,20.1,2.7,4.6,0.5760000000000001,0.3,0.8,0.409,2.3,3.8,0.612,0.612,0.8,1.3,0.67,1.5,3.1,4.6,1.8,0.6,0.8,1.0,2.6,6.5,BOS,80,20.1,0.22,3.58,3.8,7.02,9.1,97.94,51
248,261,Darrell Arthur,PF,28,15.6,2.3,5.2,0.442,1.3,2.9,0.45299999999999996,1.0,2.4,0.429,0.565,0.5,0.5,0.8640000000000001,0.6,2.1,2.7,1.0,0.5,0.5,0.9,1.9,6.4,DEN,41,15.6,-0.91,0.2,-0.71,0.99,7.7,99.85,20
249,262,Timothe Luwawu-Cabarrot,SF,21,17.2,2.1,5.2,0.402,0.7,2.3,0.311,1.4,2.9,0.475,0.47100000000000003,1.5,1.8,0.8540000000000001,0.4,1.8,2.2,1.1,0.5,0.1,1.1,2.2,6.4,PHI,69,17.2,-2.27,0.57,-1.7,1.11,5.3,101.64,23
250,263,Rodney McGruder,SG,25,25.2,2.4,5.9,0.413,0.9,2.8,0.332,1.5,3.1,0.488,0.49200000000000005,0.6,0.9,0.62,1.2,2.1,3.3,1.6,0.6,0.2,0.7,1.8,6.4,MIA,78,25.2,-0.58,-0.9,-1.48,2.04,5.6,96.98,40
251,264,Mirza Teletovic,PF,31,16.2,2.2,6.0,0.373,1.5,4.4,0.341,0.7,1.6,0.46,0.498,0.5,0.6,0.778,0.2,2.2,2.3,0.7,0.2,0.2,0.5,1.6,6.4,MIL,70,16.2,-1.05,-0.44,-1.49,1.16,6.1,96.72,36
252,265,Leandro Barbosa,SG,34,14.4,2.6,5.9,0.439,0.5,1.5,0.35700000000000004,2.0,4.4,0.466,0.483,0.6,0.7,0.889,0.2,1.3,1.6,1.2,0.5,0.1,0.7,1.2,6.3,PHX,67,14.4,-1.5,-1.5,-3.0,0.08,8.3,101.15,20
253,266,Mindaugas Kuzminskas,SF,27,14.9,2.3,5.4,0.428,0.8,2.5,0.321,1.5,3.0,0.517,0.501,0.8,1.0,0.809,0.7,1.2,1.9,1.0,0.4,0.2,0.8,1.2,6.3,NY,68,14.9,-0.8,-1.2,-2.0,0.72,7.5,99.41,24
254,267,Kyle O'Quinn,C,26,15.6,2.7,5.2,0.521,0.0,0.2,0.11800000000000001,2.7,5.0,0.5379999999999999,0.523,0.8,1.1,0.7709999999999999,2.0,3.6,5.6,1.5,0.5,1.3,1.0,2.2,6.3,NY,79,15.6,-1.28,1.16,-0.12,2.31,13.2,97.82,29
255,269,Nemanja Bjelica,PF,28,18.3,2.3,5.5,0.424,0.9,2.7,0.316,1.5,2.8,0.531,0.503,0.7,0.9,0.738,0.9,2.9,3.8,1.2,0.6,0.3,0.9,2.4,6.2,MIN,65,18.3,-0.71,1.94,1.23,3.24,7.8,97.32,28
256,270,Dante Exum,PG,21,18.6,2.3,5.5,0.42700000000000005,0.7,2.3,0.295,1.7,3.2,0.519,0.488,0.9,1.1,0.795,0.5,1.5,2.0,1.7,0.3,0.2,1.2,2.2,6.2,UTAH,66,18.6,-2.14,-0.65,-2.79,0.25,5.4,94.42,40
257,271,Jonathan Gibson,PG,29,13.6,2.1,5.6,0.368,0.9,2.6,0.33299999999999996,1.2,2.9,0.4,0.447,1.2,1.7,0.7240000000000001,0.1,1.2,1.3,1.5,0.5,0.0,1.2,1.2,6.2,DAL,17,13.6,-1.95,-2.16,-4.11,-0.15,6.2,96.88,4
258,272,Spencer Hawes,PF,28,14.8,2.5,5.1,0.484,0.5,1.5,0.309,2.0,3.6,0.556,0.529,0.8,1.0,0.846,0.7,2.8,3.5,1.5,0.3,0.6,0.9,1.4,6.2,MIL/CHA,54,14.8,-2.13,-0.87,-3.0,0.06,10.9,100.06,27
259,273,Trey Lyles,PF,21,16.3,2.2,6.2,0.36200000000000004,0.9,2.9,0.319,1.3,3.3,0.4,0.436,0.8,1.1,0.722,0.7,2.6,3.3,1.0,0.4,0.3,0.9,1.4,6.2,UTAH,71,16.3,-2.48,-0.23,-2.71,0.29,7.6,94.43,43
260,274,Mike Muscala,C,25,17.7,2.4,4.8,0.504,0.7,1.6,0.418,1.8,3.2,0.546,0.573,0.7,0.9,0.7659999999999999,1.1,2.3,3.4,1.4,0.4,0.6,0.8,1.4,6.2,ATL,70,17.7,-0.02,-0.36,-0.38,2.11,9.7,99.78,36
261,275,Chandler Parsons,SF,28,19.9,2.2,6.5,0.33799999999999997,0.7,2.7,0.26899999999999996,1.5,3.8,0.38799999999999996,0.39399999999999996,1.0,1.3,0.8140000000000001,0.2,2.3,2.5,1.6,0.6,0.1,0.7,1.5,6.2,MEM,34,19.9,-3.51,-0.33,-3.84,-0.29,5.6,94.04,18
262,276,Ramon Sessions,PG,30,16.2,2.0,5.3,0.38,0.4,1.2,0.33899999999999997,1.6,4.0,0.39299999999999996,0.42,1.8,2.4,0.7709999999999999,0.2,1.2,1.5,2.6,0.5,0.1,0.9,0.9,6.2,CHA,50,16.2,-1.65,-1.4,-3.05,0.04,7.9,99.63,23
263,277,Jonathon Simmons,SG,27,17.8,2.3,5.4,0.42,0.4,1.3,0.294,1.9,4.1,0.461,0.456,1.3,1.7,0.75,0.3,1.8,2.1,1.6,0.6,0.3,1.0,1.9,6.2,SA,78,17.8,-2.03,1.12,-0.91,1.94,6.7,97.59,60
264,278,Troy Williams,SF,22,18.6,2.4,5.6,0.43700000000000006,0.6,2.1,0.29,1.8,3.5,0.524,0.491,0.7,1.1,0.6559999999999999,0.5,1.8,2.3,0.8,0.9,0.3,1.1,2.0,6.2,HOU/MEM,30,18.6,-3.06,-0.45,-3.51,-0.14,5.5,98.77,19
265,279,Luc Mbah a Moute,SF,30,22.3,2.4,4.7,0.505,0.5,1.4,0.391,1.9,3.4,0.552,0.562,0.7,1.1,0.6779999999999999,0.6,1.6,2.1,0.5,1.0,0.4,0.6,1.5,6.1,LAC,80,22.3,-1.56,2.32,0.76,4.43,5.6,98.35,49
266,280,JaVale McGee,C,29,9.6,2.7,4.1,0.652,0.0,0.0,0.0,2.7,4.1,0.6579999999999999,0.652,0.7,1.4,0.505,1.3,1.9,3.2,0.2,0.2,0.9,0.5,1.4,6.1,GS,77,9.6,0.83,0.11,0.94,2.04,12.5,105.1,62
