PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE
Josh McRoberts,MIA,30,22,6,16,17.3,100.1,109.4,-9.3,20,2.17,25.6,6.5,15.4,10.8,11.8,42.8,43.9,17.5,93.81,7.1
Garrett Temple,SAC,31,65,25,40,26.6,104.6,109.7,-5.1,14.6,2.15,23.6,2.2,10.1,6.2,11,51.9,54.5,14.2,97.51,7.1
Boris Diaw,UTA,35,73,45,28,17.6,106,103.6,2.4,20.7,1.95,28.4,4.3,10.3,7.3,14.5,47.7,49.4,15.8,93.08,7.1
Roy Hibbert,DEN,30,48,24,24,14.2,104.9,105.3,-0.3,4.8,0.66,9,8.6,14,11.4,13.7,54.4,61.4,13.9,98.94,7.1
Jaylen Brown,BOS,20,78,50,28,17.2,103,105.1,-2.2,7.7,0.94,10.5,3.8,14.6,9.2,11.2,50.8,53.9,18.3,99.02,7.1
Michael Carter-Williams,CHI,25,45,25,20,18.8,103.3,104.1,-0.8,20.3,1.71,21.8,2.9,16.9,9.7,12.7,39.1,43.7,20.7,98.47,7
James Ennis III,MEM,26,64,32,32,23.4,104.6,103.9,0.7,6.7,1.08,13,5.1,14.3,9.7,12,53.4,58.1,12.9,95.06,7
Tyler Ennis,LAL,22,53,28,25,11.1,103.5,103.7,-0.2,21.1,1.91,24.6,1.7,7.2,4.4,12.9,49.8,52.1,19.4,100.23,7
Jonas Jerebko,BOS,30,78,51,27,15.8,108.9,105.7,3.2,8.1,1.82,18.3,5.5,19.2,12.5,10,52.1,53.7,11.5,98.94,6.9
Maurice Harkless,POR,24,77,38,39,28.9,111.7,108.3,3.4,5.6,1.02,10.3,6.2,10.7,8.5,10.1,55.8,57,15.1,99.45,6.9
Jarell Martin,MEM,23,42,23,19,13.3,95.4,99.5,-4.1,2.5,0.29,3.8,7.8,24,15.6,13.4,41.4,47.7,16.1,97.39,6.9
Lavoy Allen,IND,28,61,31,30,14.3,103.1,109.5,-6.3,9.3,1.97,21.2,13.3,15.4,14.3,10.8,45.8,48.5,10.6,97.83,6.9
Monta Ellis,IND,31,74,39,35,27,106.6,107.1,-0.5,17.1,1.75,24,1.1,10.3,5.8,13.7,48.2,51.4,16.9,98.1,6.9
Marcus Thornton,WAS,30,33,15,18,17.4,102.1,114.8,-12.7,10.8,1.64,14.2,4.3,12,7.9,8.7,46.7,49.4,18.8,98.29,6.9
Maurice Ndour,NYK,25,32,10,22,10.4,102.5,103.9,-1.4,3.7,0.67,6.8,7.3,14.9,11,10.2,45.9,50.3,14.5,97.61,6.9
Danny Green,SAS,30,68,51,17,26.6,108.9,101.1,7.8,9.7,1.63,18.7,2,11.6,7,11.5,52.3,53.7,13.7,94.47,6.9
Bobby Brown,HOU,32,25,18,7,4.9,105,117,-12.1,17.5,2.8,17.5,0,5,2.5,6.3,50,50.9,23.4,102.26,6.9
Omri Casspi,MIN,29,36,12,24,17.8,103.9,112.3,-8.4,8.7,1.28,15.2,4.7,16.7,10.4,11.9,51.5,52.6,14,98.23,6.9
Josh Richardson,MIA,23,53,23,30,30.5,104.4,103.3,1.2,12.8,2.15,18.6,2.3,9.5,5.7,8.6,46.7,49.3,16.8,97.52,6.9
Austin Rivers,LAC,24,74,43,31,27.8,107.9,108,-0.1,15.5,1.77,18,1.1,7.6,4.4,10.1,51.8,54.5,20.3,98.18,6.9
Quinn Cook,NOP,24,14,9,5,13.4,108.8,116.5,-7.7,19.8,2,24.3,0.6,4.2,2.3,12.1,58.3,57.9,19.9,96.78,6.8
Dante Cunningham,NOP,30,66,28,38,25,105.9,106.1,-0.3,3.1,1.32,8.5,3.6,14.4,9,6.4,58.4,58.6,10.8,99.77,6.8
Langston Galloway,SAC,25,74,29,45,20.2,103.1,104.6,-1.5,9.8,2.02,13.1,1.9,9.4,5.6,6.5,49,51,18.5,99.48,6.7
Jonathon Simmons,SAS,27,78,60,18,17.9,105.5,96.7,8.8,13.7,1.66,18.5,1.7,11.1,6.5,11.2,45.6,50.4,17.9,97.59,6.7
James Jones,CLE,36,48,28,20,7.9,99.8,111,-11.2,6.2,1.4,11.2,0.9,10.2,5.5,8,64.7,65.5,13.9,96.58,6.7
Nik Stauskas,PHI,23,80,27,53,27.3,102.4,107.1,-4.8,12.9,1.47,18.5,1.1,10.2,5.7,12.6,50,54,16.4,100.28,6.7
Wesley Johnson,LAC,29,68,40,28,11.9,101.3,104.2,-2.9,4.2,1.28,9.3,3.5,20.9,12.2,7.2,43.8,44.8,12.6,98.1,6.7
Marcelo Huertas,LAL,34,23,5,18,10.3,100.8,113.1,-12.3,31.1,2.74,35.5,0.9,11.6,5.7,13,39.7,41.7,17.1,101.12,6.6
Matthew Dellavedova,MIL,26,76,39,37,26.1,106,107,-1.1,25.9,2.68,33.5,1.4,7.2,4.3,12.5,46.3,50.1,16.1,97.5,6.6
Troy Daniels,MEM,25,67,33,34,17.7,104.6,104.3,0.3,6.5,1.02,7.5,2,7.7,4.7,7.4,51.3,53.1,21,95.85,6.5
Tony Snell,MIL,25,80,42,38,29.2,107,108.2,-1.2,5.8,1.75,13.4,1.1,11.1,6.2,7.7,58.8,60.3,12.2,96.85,6.5
Treveon Graham,CHA,23,27,10,17,7,94.6,106.2,-11.6,5.8,2,10.8,2.9,9.8,6.3,5.4,58.8,61.2,12.1,94.19,6.5
Malcolm Delaney,ATL,28,73,37,36,17.1,102.2,100,2.2,24.1,2.03,26.9,0.9,10.4,5.6,13.3,40.7,45.6,18.7,98.7,6.4
Tomas Satoransky,WAS,25,57,33,24,12.6,104.7,102.4,2.3,18.3,2.42,31.6,4.1,8.9,6.6,13,44.6,47.7,12.7,95.69,6.4
James Young,BOS,21,29,16,13,7.6,100.7,106.4,-5.8,3,1,5.7,2.8,10.4,6.4,5.7,53.4,54.9,13.2,100.01,6.4
Nicolas Laprovittola,SAS,27,18,15,3,9.7,94.6,104.3,-9.7,30.1,1.47,28.6,0.7,5.8,3.2,19.4,53.2,57.9,19,95.31,6.3
Chris Andersen,CLE,38,12,8,4,9.5,112.7,108.4,4.3,6.3,1,13.1,9.8,19.1,15,13.1,40.9,49.7,13.6,96.5,6.3
Marquese Chriss,PHX,19,82,24,58,21.3,102.5,113.3,-10.8,5.1,0.56,6.8,5.8,16.4,10.9,12.3,50.6,52.9,19.6,103.56,6.3
C.J. Watson,ORL,33,62,20,42,16.3,97.5,107.5,-9.9,17.4,2.43,26,1.7,8.4,4.8,10.7,45.2,50.7,14.2,98.51,6.3
Raul Neto,UTA,25,40,24,16,8.6,109.6,95.7,13.9,14,2.27,23.6,1.4,8.4,5,10.4,50.5,52.7,14.7,95.77,6.2
Aaron Brooks,IND,32,65,36,29,13.7,101.5,104.6,-3,21.6,1.89,24.6,2.2,6.4,4.3,13,48.3,50.7,19.1,96.55,6.2
Sasha Vujacic,NYK,33,42,14,28,9.7,99.9,101.4,-1.5,18.9,3.25,24.2,3.1,12.3,7.6,7.5,39.3,42.3,17.3,99.29,6.2
Jonathan Gibson,DAL,29,17,4,13,13.6,97.3,116.9,-19.6,21.5,1.24,16.8,0.5,12.1,5.6,13.6,44.7,49.2,25.3,96.88,6.2
Ed Davis,POR,28,46,19,27,17.2,104.9,110.8,-5.9,5,0.7,10.8,12.8,21.3,16.9,15.4,52.8,56.3,11.9,98.77,6.1
Mirza Teletovic,MIL,31,70,36,34,16.2,106.4,103,3.4,6.3,1.3,9.2,1.1,15,8.2,7.1,49.8,51.5,19.1,96.72,6.1
Joe Harris,BKN,25,52,10,42,21.9,97.4,107.9,-10.5,7.6,0.98,11,1.4,11.7,6.6,11.2,54.3,55.8,16.1,105.53,6.1
Meyers Leonard,POR,25,74,37,37,16.5,105,107.6,-2.6,8.5,2.03,14.2,2.4,19.4,10.8,7,48.4,50.7,15.7,99.44,6.1
Jordan Mickey,BOS,22,25,9,16,5.6,99.1,116.1,-17.1,8.4,0.78,12.5,9.9,20.2,14.5,16,44.1,47.3,15.7,97.66,6
Pascal Siakam,TOR,23,55,35,20,15.6,106.5,106.4,0,2.8,0.52,6.3,8.3,16.8,12.4,12.3,50.5,52.3,13.1,96.94,6
Ben McLemore,SAC,24,61,27,34,19.3,102,108.5,-6.5,6.8,0.82,8.9,1.9,10.6,6.3,10.8,50.7,53.8,20.1,97.04,6
Marshall Plumlee,NYK,24,21,6,15,8.1,107.4,109.2,-1.9,8.2,0.83,16.6,14.4,19.3,16.7,19.9,53.3,52.1,12.5,97.55,6
Derrick Jones Jr.,PHX,20,32,7,25,17,107.9,103.5,4.4,3,0.92,7.3,7.6,7.8,7.7,7.9,57.4,60.4,11.7,102.98,6
Deyonta Davis,MEM,20,36,23,13,6.6,97.6,104.8,-7.2,1.5,0.25,3.1,8.8,18.5,13.5,12.3,51.1,52.8,11.9,95.37,6
Justise Winslow,MIA,21,18,4,14,34.7,101.1,101.5,-0.4,15.3,2,19.1,4,12.2,8.1,9.6,37.1,39.9,20,97.53,5.9
Andre Roberson,OKC,25,79,46,33,30.1,106.1,103.3,2.8,4.5,1.55,12.3,4.6,13.8,9.2,7.9,51.3,51,10,101.08,5.9
Mario Hezonja,ORL,22,65,20,45,14.8,94.5,109.6,-15.1,11,1.07,13.1,2.1,15.1,8.2,12.3,42,45,19.1,97.48,5.9
Jordan McRae,CLE,26,37,26,11,10.4,105.2,112.7,-7.5,8.3,1.36,9.6,1.8,9.9,5.9,7.1,44.7,48.8,21.6,97.04,5.9
Jason Terry,MIL,39,74,37,37,18.4,107.1,102.4,4.7,10,2.72,25.1,1.3,7.7,4.6,9.2,58.2,60,9.8,95.82,5.8
Arron Afflalo,SAC,31,61,23,38,25.9,104.4,112.1,-7.7,7.7,1.86,13.4,0.7,8.7,4.7,7.2,51.4,55.9,14.7,96.17,5.8
Hollis Thompson,NOP,26,40,12,28,18.8,98.8,104.7,-6,7.2,3.18,13.5,2.8,12.8,7.9,4.3,46.5,48.2,13.3,98.46,5.8
Jerami Grant,OKC,23,80,43,37,19.1,102.7,108.1,-5.4,4.4,1.05,9.5,2.7,12.2,7.4,9.1,52.9,55.6,12.3,100.42,5.8
Denzel Valentine,CHI,23,57,28,29,17.1,104,104.5,-0.5,9.5,1.29,15.4,1.2,16.1,8.5,12,48.1,49.2,15.6,97.94,5.8
Anthony Brown,ORL,24,11,3,8,14.5,102,100.7,1.3,8,1.33,12.5,4.8,16.3,10.4,9.4,43,43,15.8,94.67,5.8
Mike Scott,ATL,28,18,7,11,10.8,93.3,101.7,-8.5,15,2.13,19.4,5.3,17.1,10.6,9.1,32.2,36,16.5,97.93,5.8
Corey Brewer,LAL,31,82,47,35,15.6,107.5,104.6,3,10.4,1.76,18.3,2.7,11.8,7.2,10.4,46.1,49.1,14.5,101.21,5.7
Jakob Poeltl,TOR,21,54,38,16,11.6,101.8,101.5,0.3,3,0.41,6.6,13.7,16.9,15.2,16,58.3,58.9,12.1,95.71,5.7
Malachi Richardson,SAC,21,22,9,13,9,100.5,104.6,-4.2,9.2,1.38,11.5,1.8,10.6,6.4,8.4,47.1,51.7,19.6,96.63,5.7
Ron Baker,NYK,24,52,14,38,16.5,103.4,106,-2.5,18.8,1.91,26.8,1.5,11.3,6.3,14,43.1,45.6,15.2,96.85,5.7
Randy Foye,BKN,33,69,17,52,18.6,101.9,108.9,-7,15.3,1.69,23.8,0.7,12.4,6.5,14.1,46.6,50.6,14.5,103.71,5.7
Patrick McCaw,GSW,21,71,57,14,15.1,104.3,104.9,-0.7,9.9,2.14,20.6,2.1,7.8,5,9.6,51.6,54,11.9,102.03,5.6
Chandler Parsons,MEM,28,34,18,16,19.8,104.1,107.6,-3.6,12.2,2.29,17.2,1,14.1,7.3,7.5,39.4,43.6,18.4,94.04,5.6
Rodney McGruder,MIA,25,78,40,38,25.2,105.3,105.6,-0.2,8.8,2.21,18.5,5.4,9.3,7.4,8.3,49.2,50.6,12.4,96.98,5.6
Isaiah Canaan,CHI,26,39,19,20,15.2,99.9,106.7,-6.8,9.9,1.76,15.1,1,8.2,4.5,8.6,43.6,48.3,15.6,96.46,5.6
Luc Mbah a Moute,LAC,30,80,49,31,22.3,112.3,102,10.3,2.9,0.85,7.8,2.9,7.5,5.3,9.2,56.2,58.1,11.7,98.35,5.6
Lance Thomas,NYK,29,46,15,31,21,101.5,111.2,-9.7,5.3,1.4,10.7,3.5,12.3,7.9,7.7,47.5,51.6,13.2,98.29,5.5
Brandon Ingram,LAL,19,79,26,53,28.9,104.6,112.6,-8,10.5,1.43,15.6,2.8,12.8,7.6,10.9,44.2,47.4,16.9,100.45,5.5
Kelly Oubre Jr.,WAS,21,79,47,32,20.3,106,105.6,0.4,4.2,0.94,8.1,4.4,13.8,9.2,8.6,48.2,51.6,14.7,99.53,5.5
Anthony Morrow,CHI,31,49,25,24,14.6,104.6,106.4,-1.8,5.2,4.17,8.4,1.8,3,2.4,2,47,50.5,16.1,99.75,5.5
Iman Shumpert,CLE,27,76,48,28,25.5,110.1,108.2,1.9,8,1.4,15.2,2.3,9.8,6.2,10.9,50.7,53.6,14.2,97.99,5.5
Troy Williams,HOU,22,30,19,11,18.6,100.1,105.5,-5.4,7.2,0.78,10.5,2.9,10.7,6.8,13.4,49.1,51.1,17.1,98.77,5.5
Dante Exum,UTA,21,66,40,26,18.6,103.6,101.6,2,14.4,1.39,18.9,2.9,9.1,6.1,13.6,48.8,52.1,18.1,94.42,5.4
Luke Babbitt,MIA,28,68,35,33,15.7,104,102.2,1.8,4.9,1.44,10.3,1.3,13.2,7.3,7.2,55.7,56.3,13.3,97.22,5.4
Timothe Luwawu-Cabarrot,PHI,22,69,23,46,17.2,101.4,103.8,-2.5,9.3,1.03,13.3,2.3,11.2,6.8,13,47.1,53.6,17.7,101.64,5.3
Solomon Hill,NOP,26,80,34,46,29.7,104.3,103.4,0.9,8,1.72,18.6,2.3,11.3,6.8,10.8,48.1,52.7,11.5,100.61,5.3
Andrew Harrison,MEM,22,72,38,34,20.5,102.3,102.5,-0.3,20.9,2.33,27.2,1.7,9,5.3,11.7,38.5,47.7,16.4,94.76,5.3
Richard Jefferson,CLE,37,79,50,29,20.4,110.3,106.9,3.4,6.8,1.5,15,2,11.5,7,10,53.6,57.4,12.3,98.11,5.3
Donatas Motiejunas,NOP,26,34,16,18,14.1,103,114,-11.1,9.6,1.03,14.4,5.7,18,11.6,13.9,45.3,47,17.4,101.18,5.3
Rashad Vaughn,MIL,20,41,18,23,11.2,99.4,107,-7.6,8.5,1.64,11.8,1,11.2,6,7.2,44.9,44.9,17.3,96.36,5.2
Alex Abrines,OKC,23,68,37,31,15.5,106,108.3,-2.3,5.5,1.21,9.2,1.9,7.4,4.6,7.6,53.1,56,15.7,101.04,5.2
Isaiah Whitehead,BKN,22,73,17,56,22.5,103.5,106.4,-2.9,17.3,1.35,21.5,2.1,9.3,5.9,15.9,44.5,48.7,18.3,102.31,5.2
Kris Dunn,MIN,23,78,30,48,17.1,105.7,108.6,-2.8,20,2.11,30.5,2.1,13.1,7.4,14.4,41.1,43.2,14.2,96.78,5.1
Wade Baldwin IV,MEM,21,33,18,15,12.3,90.9,107.8,-16.9,26.2,1.56,26.4,2.9,9.7,6.2,16.9,32.6,40.4,19.1,96.72,5.1
Jarrett Jack,NOP,33,2,1,1,16.5,88.1,102.4,-14.3,26.3,1.67,42.1,0,0,0,25.3,66.7,77.3,9,97.67,5.1
Paul Zipser,CHI,23,44,21,23,19.2,103.3,101.7,1.6,6.2,0.9,11.4,1.9,13.8,7.9,12.7,47.3,50.3,14.5,97.93,5
Okaro White,MIA,24,35,26,9,13.5,111,102.4,8.6,6.1,1.17,15.5,6.1,14.2,10.1,13.3,44.8,50.7,10.9,95.86,5
Arinze Onuaku,ORL,29,8,3,5,3.5,83,113.6,-30.5,14.3,1,25,6.9,21.1,12.5,25,50,50,10.3,90.67,4.9
Dorian Finney-Smith,DAL,24,81,33,48,20.3,104.1,105.6,-1.4,6.1,1.49,14.2,3.7,12.4,7.9,9.5,45.6,48.6,11.7,93.28,4.9
Domantas Sabonis,OKC,21,81,46,35,20.1,102,101.9,0.2,7.3,0.99,12.1,3.2,16.4,9.8,12.3,45.2,46.9,15.8,99.61,4.9
Rakeem Christmas,IND,25,29,14,15,7.6,97.7,108.3,-10.6,2.7,0.5,5.9,12.7,15.7,14.1,11.8,44.2,52.9,12.3,98.43,4.9
Bryn Forbes,SAS,23,36,24,12,7.9,94.2,102.9,-8.7,14.6,2.09,17,0.7,8.2,4.3,8.1,44.9,46.2,18.1,95.86,4.8
Anderson Varejao,GSW,34,14,12,2,6.6,104,112.4,-8.4,15.2,1.25,27.1,13.3,18.8,15.9,21.7,35.7,47.8,12.4,102.27,4.8
Stanley Johnson,DET,21,77,35,42,17.8,104,103.7,0.2,10.6,1.48,18.6,2.9,12.9,7.7,12.6,41.5,43.6,14.8,96.99,4.8
JR Smith,CLE,31,41,25,16,29,111.4,108.1,3.3,7.1,2.38,13.8,1.6,8.6,5.2,5.8,47.9,48.4,14.5,99.02,4.6
DeAndre Liggins,DAL,29,62,40,22,12.5,108.2,105.4,2.8,9.7,1.29,21.1,2.9,12.4,7.8,16.4,44.7,47.6,11.6,97.12,4.6
Kyle Singler,OKC,29,32,15,17,12,102,101.2,0.8,3.4,0.82,8.1,2.2,12.3,7,10,45.2,48.6,11.3,99.19,4.6
Stephen Zimmerman,ORL,20,19,8,11,5.7,94.9,112.9,-18.1,5.6,1.33,10,9.3,27.3,17,7.5,32.3,34.6,14.9,95.34,4.6
Daniel Ochefu,WAS,23,19,12,7,3.9,98.9,119.4,-20.5,7,1,8.9,7.7,28.8,17.7,8.9,44.4,43,19,93.95,4.5
Paul Pierce,LAC,39,25,16,9,11.1,107.4,105,2.4,4.9,0.63,9.8,0.4,16.8,9.2,15.7,50.7,53.5,14.9,97.71,4.4
Wayne Selden,MEM,22,14,6,8,16.9,98.4,105.8,-7.4,9,1.08,14,0.5,6.6,3.7,12.9,49.1,52.5,16.2,94.78,4.4
AJ Hammons,DAL,24,22,4,18,7.4,102.2,102.8,-0.6,3.8,0.4,6.2,4.9,19.9,11.9,15.4,46.4,47.2,16.7,95.66,4.3
Brandon Rush,MIN,31,47,15,32,21.9,108.9,109.8,-0.8,5.8,1.61,16.8,1.9,8.9,5.5,10.5,49.2,50.5,9.7,96.76,4.3
Semaj Christon,OKC,24,64,36,28,15.2,102.1,108.6,-6.5,19.3,3.02,31.7,2.3,8.5,5.3,10.5,37.2,38.7,12.7,97.09,4.2
Gary Payton II,MIL,24,6,2,4,16.5,88.6,115.1,-26.5,22.4,1.3,27.5,0,14.8,7.2,21.2,38.6,41.3,16.2,96.75,4.1
Cameron Payne,CHI,22,31,16,15,14.9,95.9,104.6,-8.7,19.5,1.9,19.6,0.7,11.1,5.7,10.3,40.2,40.7,21.5,98.86,4.1
Miles Plumlee,CHA,28,45,19,26,10.8,101.1,107,-5.9,6.5,0.7,13.1,9.3,12.7,11.1,18.7,47.8,51.8,13.1,95.64,4
Darrun Hilliard,DET,24,39,19,20,9.8,100.4,100.5,-0.1,13.3,1.18,16.6,0.6,9.2,4.9,14,42.1,45.9,19.6,96.1,3.9
Justin Harper,PHI,27,3,1,2,10.4,94.6,112.6,-18,10,0.5,11.1,6.9,10.3,8.6,22.2,50,50,21.4,102.88,3.9
Damjan Rudez,ORL,31,45,12,33,7,94.8,112.1,-17.3,10.1,2.22,17.1,1.7,7.9,4.5,7.7,46.6,46.6,13.8,96.28,3.6
Kyle Wiltjer,HOU,24,14,12,2,3.1,84.5,120.4,-35.9,6.9,0.4,9.1,9.5,15.4,12.3,22.9,42.9,43.7,18.7,107.61,3.3
Norris Cole,OKC,28,13,5,8,9.6,97.8,104.2,-6.4,17.7,2,18.1,0,10.5,5,9,33.7,38.1,22,98.87,3.3
Dragan Bender,PHX,19,43,13,30,13.3,105,107,-2,5.7,0.72,10.4,4.3,15.5,9.8,14.5,44.1,44,14.8,100.06,3.3
Ronnie Price,PHX,34,14,4,10,9.6,97.6,110.5,-12.8,18.8,6,38.5,2,6.8,4.1,6.4,22.9,27.2,8.7,102.91,3.2
Andrew Nicholson,BKN,27,38,20,18,9,96,113.6,-17.6,4.7,0.59,6.9,5,15.6,10.2,11.8,41,42.7,17.8,97.45,3.1
Metta World Peace,LAL,37,25,8,17,6.4,92.6,110.3,-17.7,11.3,1.57,11.8,3.1,11.8,7,7.5,34.6,38,22.5,97.7,2.9
Steve Novak,MIL,34,8,6,2,2.7,104.3,105.9,-1.6,0,0,0,0,14.3,8.3,0,35.7,35.7,16.9,81.3,2.8
Jared Sullinger,TOR,25,11,2,9,10.7,89.7,105.6,-15.8,4.8,0.75,5.2,7.9,18.5,12.3,7,35.1,36.6,20.4,96.58,2.7
Jake Layman,POR,23,35,16,19,7.1,99.1,99.5,-0.4,7.2,1,9.3,2.5,7.2,4.9,9.3,36.5,40.4,19.1,98.83,2.5
Alan Anderson,LAC,34,30,20,10,10.3,103.1,114,-10.8,5.2,1.57,10.5,1.1,7.7,4.4,6.7,46.3,49.4,14.2,95.84,2.3
CJ Wilcox,ORL,26,22,8,14,4.9,96,109.1,-13.1,17.4,2,24.1,3.3,8.7,5.6,12,30.6,32.9,14.9,96.43,2.2
Georges Niang,IND,24,23,11,12,4,102.7,108,-5.3,7.4,1,10.7,2.1,16.9,9.1,10.7,26.4,28.5,18.9,97.58,2
Axel Toupane,NOP,24,4,2,2,11.9,96.7,103.5,-6.8,0,0,0,0,2.3,1.1,0,61.1,61.1,8.6,99.43,2
Damian Jones,GSW,22,10,7,3,8.5,91.8,106.7,-14.9,0,0,0,11.3,22.2,16.1,22.7,50,46.6,13.8,96.61,1.6
Jordan Hill,MIN,29,7,2,5,6.7,107.5,93.6,13.9,0,0,0,20.5,13.3,16.7,22.4,38.5,43.2,18,90.23,1.5
Greivis Vasquez,BKN,30,3,1,2,12.9,95.9,114.6,-18.7,18.5,5,32.6,0,5.1,2.4,6.5,31.3,37.6,11,102.41,0.9
Alonzo Gee,DEN,30,13,4,9,6.9,107.8,106.3,1.4,9.2,1.5,21.5,4.6,13.6,8.9,14.3,21.4,30.6,10.8,104.33,0.8
Manny Harris,DAL,27,4,1,3,6.2,78.6,129.7,-51.1,14.3,1,9.6,9.1,35.3,18,9.6,20,23.9,29.4,100.93,0.6
Aaron Harrison,CHA,22,5,2,3,3.3,83.3,101.9,-18.6,37.5,0,38.1,0,20,9.4,0,0,10.2,14.2,92.43,0
Danuel House,WAS,24,1,0,1,0.8,0,0,0,0,0,0,0,100,50,0,0,0,0,58.06,0
RJ Hunter,CHI,23,3,2,1,3.1,27.8,85.6,-57.8,0,0,0,0,7.7,3.1,0,0,0,4.2,93.17,0
Lamar Patterson,ATL,25,5,1,4,8.1,100.2,83.4,16.8,25,1.5,22.8,2.7,13.3,8.5,15.2,23.3,27.6,23.4,93.96,-0.4
Isaiah Taylor,HOU,22,4,3,1,13,105.9,120.5,-14.6,7,0,27.6,2.1,4.1,3.1,0,14.3,19,6.5,103.9,-1.3
Diamond Stone,LAC,20,7,6,1,3.5,57.4,116.1,-58.7,0,0,0,3.7,20,11.5,11.9,23.1,33.9,32.4,95.11,-1.4
Mike Tobey,CHA,22,2,0,2,12.6,70.1,97.5,-27.3,9.1,1,16.7,8.3,4.3,6.4,16.7,25,25,10.5,91.41,-1.6
Michael Gbinije,DET,25,9,7,2,3.5,108.2,110,-1.8,8.7,0,15.5,5.7,3.7,4.8,0,10,18.4,15.7,91.34,-2.7
Elijah Millsap,PHX,29,2,1,1,11.6,91.2,93,-1.8,6.7,0.5,9.2,12.5,15,13.6,18.4,14.3,19,19.9,94.58,-3.6
Gary Neal,ATL,32,2,1,1,9.2,80.6,98.6,-18,12.5,0,10.2,0,7.7,2.7,0,0,22.8,20.1,98.18,-4.4
Patricio Garino,ORL,24,5,2,3,8.6,93.3,114.4,-21.1,0,0,0,2.5,13.3,8.2,30,0,0,10.3,95.65,-4.9
Larry Sanders,CLE,28,5,2,3,2.5,93.4,100.6,-7.2,0,0,0,37.5,11.1,23.5,29.1,25,41,22.4,99.45,-5.6
Ben Bentil,DAL,22,3,2,1,3.3,91.5,135.5,-44,0,0,0,0,25,12.5,25,0,0,18.4,106.15,-6.1
